user_id,number_of_clicks_before,ordered_before,personal_interests
104939,2,TRUE,"['body', 'makeup', 'nail', 'hand', 'foot', 'men_fragrance', 'fragrance', 'hair', 'tools']"
101562,2,TRUE,"['men_skincare', 'men_fragrance', 'tools', 'skincare', 'nail', 'body', 'makeup']"
102343,2,TRUE,"['tools', 'makeup', 'foot', 'nail']"
106728,5,TRUE,"['hand', 'men_skincare']"
107179,0,TRUE,"['makeup', 'body', 'skincare', 'foot', 'men_skincare', 'fragrance', 'hair']"
111516,4,FALSE,"['men_skincare', 'foot', 'fragrance', 'nail', 'hand', 'makeup', 'men_fragrance', 'tools']"
106390,1,TRUE,"['makeup', 'men_skincare', 'fragrance', 'hand', 'foot', 'body', 'men_fragrance', 'skincare', 'tools', 'nail']"
107303,0,TRUE,"['men_skincare', 'skincare', 'hand', 'men_fragrance', 'makeup', 'fragrance', 'body']"
101785,2,TRUE,"['hair', 'hand']"
104961,6+,TRUE,"['nail', 'body', 'fragrance']"
103354,5,FALSE,"['body', 'foot', 'hair', 'makeup']"
108337,2,TRUE,"['hand', 'men_fragrance', 'men_skincare', 'nail', 'skincare', 'fragrance', 'foot', 'body']"
103201,2,TRUE,"['body', 'men_skincare', 'fragrance', 'tools']"
102570,2,TRUE,"['hair', 'men_skincare', 'hand', 'skincare', 'makeup', 'foot', 'fragrance', 'body', 'men_fragrance']"
104407,,TRUE,"['hair', 'men_skincare']"
105639,5,FALSE,"['skincare', 'makeup']"
104055,0,TRUE,"['hair', 'body', 'tools', 'nail', 'makeup', 'foot', 'fragrance', 'hand', 'men_fragrance']"
107258,0,TRUE,"['men_fragrance', 'hand']"
102171,0,TRUE,['nail']
110542,,TRUE,"['tools', 'men_skincare', 'hair', 'makeup', 'foot', 'fragrance', 'nail', 'body', 'men_fragrance']"
108316,5,FALSE,"['foot', 'skincare', 'tools', 'hair', 'fragrance', 'hand', 'nail', 'body']"
106405,6+,TRUE,"['nail', 'hand', 'hair', 'makeup', 'men_skincare', 'skincare', 'fragrance', 'foot']"
100696,4,TRUE,"['men_fragrance', 'hair', 'hand', 'fragrance', 'foot', 'men_skincare', 'body', 'makeup']"
103904,0,FALSE,['makeup']
108264,0,FALSE,[]
107724,1,FALSE,['foot']
109722,2,TRUE,"['makeup', 'foot']"
110674,4,FALSE,"['men_fragrance', 'fragrance', 'men_skincare']"
103775,2,TRUE,"['hand', 'men_fragrance', 'hair', 'tools', 'men_skincare', 'body']"
105910,6+,FALSE,"['hair', 'makeup', 'foot', 'tools', 'fragrance', 'skincare', 'nail', 'men_fragrance', 'body', 'hand']"
103950,5,TRUE,[]
101531,1,FALSE,"['men_fragrance', 'makeup', 'foot', 'men_skincare', 'hair', 'fragrance', 'nail', 'tools']"
101676,5,TRUE,"['fragrance', 'nail', 'hand', 'body', 'men_skincare', 'tools', 'men_fragrance', 'skincare']"
103069,4,TRUE,"['hair', 'nail', 'skincare', 'fragrance', 'men_skincare', 'tools', 'makeup']"
101053,2,FALSE,['body']
106447,5,FALSE,"['hand', 'tools', 'hair', 'men_fragrance', 'body', 'men_skincare', 'fragrance', 'skincare', 'nail', 'foot']"
108409,2,FALSE,[]
106736,6+,TRUE,"['fragrance', 'hand', 'tools', 'foot', 'makeup', 'skincare']"
108191,2,TRUE,"['men_fragrance', 'fragrance', 'foot', 'tools', 'makeup']"
102706,4,FALSE,"['men_fragrance', 'makeup', 'skincare', 'tools', 'fragrance', 'body', 'foot', 'hand', 'hair']"
102384,4,TRUE,"['makeup', 'body', 'tools', 'hair', 'men_skincare', 'fragrance', 'skincare', 'men_fragrance']"
106787,5,FALSE,"['foot', 'nail', 'skincare', 'fragrance', 'body', 'men_skincare', 'hand']"
110574,1,FALSE,[]
105049,0,FALSE,"['foot', 'men_fragrance', 'skincare', 'hand', 'makeup', 'men_skincare', 'hair', 'fragrance', 'nail', 'body']"
100050,6+,FALSE,"['men_fragrance', 'men_skincare', 'foot', 'makeup']"
100239,1,TRUE,"['body', 'fragrance', 'men_fragrance', 'nail']"
103649,6+,TRUE,"['foot', 'body', 'tools', 'men_skincare', 'nail', 'hair', 'fragrance', 'makeup', 'men_fragrance']"
107355,,TRUE,"['tools', 'skincare', 'men_fragrance', 'hand', 'fragrance', 'makeup']"
101010,2,TRUE,"['skincare', 'body', 'tools', 'foot', 'hand', 'fragrance', 'nail', 'makeup']"
102683,1,TRUE,"['skincare', 'body', 'hair', 'men_skincare', 'hand', 'tools', 'men_fragrance', 'foot']"
108134,1,TRUE,[]
111769,1,TRUE,"['makeup', 'body', 'nail', 'men_fragrance', 'hand']"
104075,6+,TRUE,"['hand', 'foot', 'hair', 'makeup', 'nail', 'men_skincare', 'skincare', 'tools', 'body', 'fragrance']"
107181,5,TRUE,"['body', 'makeup', 'nail', 'foot', 'men_skincare', 'hand', 'tools', 'skincare', 'men_fragrance']"
106193,0,TRUE,"['makeup', 'hair', 'foot', 'hand', 'men_skincare', 'fragrance', 'body']"
100276,0,FALSE,"['men_skincare', 'body', 'men_fragrance', 'foot', 'fragrance', 'hair', 'hand', 'makeup', 'nail', 'skincare']"
103939,1,FALSE,"['men_skincare', 'men_fragrance', 'makeup', 'body', 'hand', 'foot', 'nail']"
101665,6+,TRUE,"['fragrance', 'men_fragrance', 'nail', 'makeup', 'body', 'foot', 'tools', 'hand']"
102995,2,TRUE,"['tools', 'foot', 'makeup', 'body', 'men_skincare', 'men_fragrance', 'hair', 'nail', 'hand', 'fragrance']"
109194,1,TRUE,"['body', 'nail', 'foot']"
108133,2,FALSE,"['makeup', 'tools', 'hand', 'foot']"
100489,6+,TRUE,"['foot', 'skincare', 'fragrance', 'hand', 'nail', 'men_skincare', 'men_fragrance', 'hair']"
100923,6+,TRUE,['hair']
108653,4,FALSE,"['men_skincare', 'body', 'makeup', 'men_fragrance']"
101231,0,TRUE,"['foot', 'skincare', 'fragrance', 'makeup', 'hand', 'men_skincare', 'body', 'hair', 'tools', 'nail']"
103783,2,TRUE,"['hair', 'foot', 'men_fragrance']"
103214,4,FALSE,"['hair', 'nail', 'body', 'makeup', 'skincare', 'hand', 'men_fragrance']"
100593,1,TRUE,['skincare']
100371,1,TRUE,"['skincare', 'nail', 'body', 'makeup', 'hair', 'foot', 'fragrance', 'men_skincare']"
101658,2,FALSE,"['skincare', 'makeup']"
104763,,TRUE,['nail']
111138,6+,TRUE,['makeup']
